Key,English,Nepali (Reference),Newari (नेपाल भाषा),Maithili (मैथिली),Category
app_name,Nepal Civic,नेपाल नागरिक,नेपाल नागरिक,,UI Strings
nav_calendar,Calendar,पात्रो,पात्रो,,UI Strings
nav_home,Home,गृह,छेँ,,UI Strings
nav_ipo,IPO,आईपीओ,आईपीओ,,UI Strings
nav_rights,Rights,अधिकार,अधिकार,,UI Strings
explore,Explore,अन्वेषण,अन्वेषण,,UI Strings
utilities,Utilities,उपकरणहरू,उपकरणथें,,UI Strings
govt,Govt,सरकार,सरकार,,UI Strings
map,Map,नक्सा,नक्सा,,UI Strings
rights,Rights,अधिकार,अधिकार,,UI Strings
citizenship_merger,Citizenship Merger,नागरिकता मर्जर,नागरिकता मर्जर,,UI Strings
image_compressor,Image < 300KB,फोटो कम्प्रेस,फोटो कम्प्रेस,,UI Strings
calendar,Calendar,पात्रो,पात्रो,,UI Strings
date_convert,Date Convert,मिति परिवर्तक,मिति परिवर्तक,,UI Strings
forex,Forex,विदेशी मुद्रा,विदेशी मुद्रा,,UI Strings
gold_silver,Gold/Silver,सुन/चाँदी,लुँ/चाँदी,,UI Strings
settings,Settings,सेटिङ,सेटिङ,,UI Strings
language_display,Language & Display,भाषा र प्रदर्शन,भाषा व प्रदर्शन,,UI Strings
data_updates,Data & Updates,डाटा र अपडेट,डाटा व अपडेट,,UI Strings
notifications,Notifications,सूचनाहरू,सूचनाथें,,UI Strings
about,About,बारेमा,बारेया,,UI Strings
language,Language,भाषा,भाषा,,UI Strings
theme,Theme,थिम,थिम,,UI Strings
auto_check_updates,Auto-check for updates,स्वचालित अपडेट जाँच,स्वचालित अपडेट जाँच,,UI Strings
auto_check_updates_desc,Check for new data on app launch,एप खोल्दा नयाँ डाटा जाँच गर्नुहोस्,एप खोलय् नयाँ डाटा जाँच याय्,,UI Strings
check_updates_now,Check for updates now,अहिले अपडेट जाँच गर्नुहोस्,अले अपडेट जाँच याय्,,UI Strings
check_updates_now_desc,Download latest leader data,नवीनतम नेता डाटा डाउनलोड गर्नुहोस्,नयाँ नेता डाटा डाउनलोड याय्,,UI Strings
clear_cache,Clear cache,क्यास खाली गर्नुहोस्,क्यास खाली याय्,,UI Strings
clear_cache_desc,Free up storage space,भण्डारण ठाउँ खाली गर्नुहोस्,भण्डारण ठाउँ खाली याय्,,UI Strings
sticky_date_notification,Sticky Date Notification,स्थायी मिति सूचना,स्थायी मिति सूचना,,UI Strings
sticky_date_notification_desc,Show today's Nepali date in notification bar,आजको नेपाली मिति सूचना पट्टीमा देखाउनुहोस्,थौं नेपाली मिति सूचना पट्टीया क्यनेगु,,UI Strings
ipo_alerts,IPO Alerts,आईपीओ सूचना,आईपीओ सूचना,,UI Strings
ipo_alerts_desc,Get notified when IPOs are opening or closing,आईपीओ खुल्दा वा बन्द हुँदा सूचना पाउनुहोस्,आईपीओ खुलय् वा बन्द जुलय् सूचना काय्,,UI Strings
checking_updates,Checking for updates...,अपडेट जाँच गर्दै...,अपडेट जाँच यानाच्वँ...,,UI Strings
cache_cleared,Cache cleared,क्यास खाली भयो,क्यास खाली जुल,,UI Strings
app_version,Nepal Civic App v1.0.0,नेपाल नागरिक एप v1.0.0,नेपाल नागरिक एप v1.0.0,,UI Strings
theme_system,System,सिस्टम,सिस्टम,,UI Strings
theme_light,Light,उज्यालो,ज्वः,,UI Strings
theme_dark,Dark,अँध्यारो,मिखा,,UI Strings
theme_system_desc,Follow device settings,उपकरण सेटिङ अनुसरण गर्नुहोस्,उपकरण सेटिङ अनुसरण याय्,,UI Strings
theme_light_desc,Always light theme,सधैं उज्यालो थिम,सदां ज्वःगु थिम,,UI Strings
theme_dark_desc,Always dark theme,सधैं अँध्यारो थिम,सदां मिखागु थिम,,UI Strings
choose_theme,Choose Theme,थिम छान्नुहोस्,थिम ल्ययादिसँ,,UI Strings
choose_language,Choose Language,भाषा छान्नुहोस्,भाषा ल्ययादिसँ,,UI Strings
both_languages,Both Languages,दुवै भाषा,निसें भाषा,,UI Strings
nepali_language,नेपाली (Nepali),नेपाली,नेपाली,,UI Strings
english_language,English,अंग्रेजी,अंग्रेजी,,UI Strings
newari_language,नेपाल भाषा (Newari),नेपाल भाषा,नेपाल भाषा,,UI Strings
maithili_language,मैथिली (Maithili),मैथिली,मैथिली,,UI Strings
know_your_rights,Know Your Rights,आफ्नो हक जान्नुहोस्,छिगु हक सय्कादिसँ,,UI Strings
preamble,Preamble,प्रस्तावना,प्रस्तावना,,UI Strings
part_number,Part {number},भाग {number},भाग {number},,UI Strings
article_number,Article {number},धारा {number},धारा {number},,UI Strings
search_articles,Search for articles...,धाराहरू खोज्नुहोस्...,धाराथें मालादिसँ...,,UI Strings
no_results,"No results for ""{query}""",{query} को लागि कुनै परिणाम छैन,{query} या लागि खँ मदु,,UI Strings
file_complaint,File Complaint,उजुरी दिनुहोस्,उजुरी बियादिसँ,,UI Strings
both,Both,दुवै,निसें,,UI Strings
nepali,नेपाली,नेपाली,नेपाली,,UI Strings
english,English,अंग्रेजी,अंग्रेजी,,UI Strings
paragraph,Paragraph,अनुच्छेद,अनुच्छेद,,UI Strings
sentence,Sentence,वाक्य,वाक्य,,UI Strings
leaders,Leaders,नेताहरू,नेताथें,,UI Strings
sort,Sort,क्रमबद्ध,क्रमबद्ध,,UI Strings
filter,Filter,फिल्टर,फिल्टर,,UI Strings
sort_by,Sort by,क्रमबद्ध गर्नुहोस्,क्रमबद्ध यायेमा,,UI Strings
name,Name,नाम,नां,,UI Strings
district,District,जिल्ला,जिल्ला,,UI Strings
party,Party,पार्टी,पार्टी,,UI Strings
search_leaders,Search leaders...,नेताहरू खोज्नुहोस्...,नेताथें मालादिसँ...,,UI Strings
no_leaders_match,No leaders match your filters,तपाईंको फिल्टरसँग कुनै नेता मिलेन,छिगु फिल्टरं खँग्व नेता मिलल मखु,,UI Strings
no_leaders_found,No leaders found,कुनै नेता भेटिएन,खँग्व नेता मदु,,UI Strings
filters,Filters,फिल्टरहरू,फिल्टरथें,,UI Strings
clear_all,Clear All,सबै हटाउनुहोस्,जक्व थायेकादिसँ,,UI Strings
leaders_count,{count} leaders,{count} नेताहरू,{count} नेताथें,,UI Strings
filter_by_district,Filter by District,जिल्ला अनुसार फिल्टर,जिल्ला कथं फिल्टर,,UI Strings
select_district,Select District,जिल्ला छान्नुहोस्,जिल्ला ल्ययादिसँ,,UI Strings
clear,Clear,हटाउनुहोस्,थायेकादिसँ,,UI Strings
province,Province {number},प्रदेश {number},प्रदेश {number},,UI Strings
districts_count,{count} districts,{count} जिल्लाहरू,{count} जिल्लाथें,,UI Strings
biography,Biography,जीवनी,जीवनी,,UI Strings
no_biography,No biography available.,जीवनी उपलब्ध छैन।,जीवनी मदु।,,UI Strings
view_all_leaders,View All Leaders,सबै नेताहरू हेर्नुहोस्,जक्व नेताथें स्वयादिसँ,,UI Strings
nepal_districts,Nepal Districts,नेपाल जिल्लाहरू,नेपाल जिल्लाथें,,UI Strings
filter_by_province,Filter by Province,प्रदेश अनुसार फिल्टर,प्रदेश कथं फिल्टर,,UI Strings
reset_zoom,Reset Zoom,जुम रिसेट,जुम रिसेट,,UI Strings
no_leaders_district,No leaders found for {district},{district} मा कुनै नेता भेटिएन,{district} या खँग्व नेता मदु,,UI Strings
nepali_calendar,Nepali Calendar,नेपाली पात्रो,नेपाली पात्रो,,UI Strings
today,Today,आज,थौं,,UI Strings
previous_month,Previous month,अघिल्लो महिना,न्हापाया लः,,UI Strings
next_month,Next month,अर्को महिना,अप्वया लः,,UI Strings
holiday,Holiday,बिदा,बिदा,,UI Strings
event,Event,कार्यक्रम,कार्यक्रम,,UI Strings
auspicious,Auspicious,शुभ,शुभ,,UI Strings
no_events,No events,कुनै कार्यक्रम छैन,खँग्व कार्यक्रम मदु,,UI Strings
ipo_shares,IPO & Shares,आईपीओ र सेयर,आईपीओ व सेयर,,UI Strings
ipo_list,IPO List,आईपीओ सूची,आईपीओ सूची,,UI Strings
todays_price,Today's Price,आजको मूल्य,थौंया मोल,,UI Strings
source_cdsc,Source: CDSC Nepal,स्रोत: सीडीएससी नेपाल,स्रोत: सीडीएससी नेपाल,,UI Strings
updated_ago,Updated {time} ago,{time} अघि अपडेट भयो,{time} न्ह्यःने अपडेट जुल,,UI Strings
open_cdsc,Open CDSC Website,सीडीएससी वेबसाइट खोल्नुहोस्,सीडीएससी वेबसाइट हायेकादिसँ,,UI Strings
no_active_ipos,No active IPOs,कुनै सक्रिय आईपीओ छैन,खँग्व सक्रिय आईपीओ मदु,,UI Strings
check_later,Check back later for new listings,नयाँ सूचीको लागि पछि जाँच गर्नुहोस्,नयाँ सूचीया लागि लिपा जाँच यायेमा,,UI Strings
refresh,Refresh,ताजा गर्नुहोस्,ताजा याय्,,UI Strings
retry,Retry,पुन: प्रयास,दोबारा यायेमा,,UI Strings
