Key	English	Nepali	Newari	Maithili	Status
app_name	Nepal Civic	नेपाल नागरिक	नेपाल नागरिक		Partial
nav_calendar	Calendar	पात्रो	पात्रो		Partial
nav_home	Home	गृह	छेँ		Partial
nav_ipo	IPO	आईपीओ	आईपीओ		Partial
nav_rights	Rights	अधिकार	अधिकार		Partial
explore	Explore	अन्वेषण	अन्वेषण		Partial
utilities	Utilities	उपकरणहरू	उपकरणथें		Partial
govt	Govt	सरकार	सरकार		Partial
map	Map	नक्सा	नक्सा		Partial
rights	Rights	अधिकार	अधिकार		Partial
citizenship_merger	Citizenship Merger	नागरिकता मर्जर	नागरिकता मर्जर		Partial
image_compressor	Image < 300KB	फोटो कम्प्रेस	फोटो कम्प्रेस		Partial
calendar	Calendar	पात्रो	पात्रो		Partial
date_convert	Date Convert	मिति परिवर्तक	मिति परिवर्तक		Partial
forex	Forex	विदेशी मुद्रा	विदेशी मुद्रा		Partial
gold_silver	Gold/Silver	सुन/चाँदी	लुँ/चाँदी		Partial
settings	Settings	सेटिङ	सेटिङ		Partial
language_display	Language & Display	भाषा र प्रदर्शन	भाषा व प्रदर्शन		Partial
data_updates	Data & Updates	डाटा र अपडेट	डाटा व अपडेट		Partial
notifications	Notifications	सूचनाहरू	सूचनाथें		Partial
about	About	बारेमा	बारेया		Partial
language	Language	भाषा	भाषा		Partial
theme	Theme	थिम	थिम		Partial
auto_check_updates	Auto-check for updates	स्वचालित अपडेट जाँच	स्वचालित अपडेट जाँच		Partial
auto_check_updates_desc	Check for new data on app launch	एप खोल्दा नयाँ डाटा जाँच गर्नुहोस्	एप खोलय् नयाँ डाटा जाँच याय्		Partial
check_updates_now	Check for updates now	अहिले अपडेट जाँच गर्नुहोस्	अले अपडेट जाँच याय्		Partial
check_updates_now_desc	Download latest leader data	नवीनतम नेता डाटा डाउनलोड गर्नुहोस्	नयाँ नेता डाटा डाउनलोड याय्		Partial
clear_cache	Clear cache	क्यास खाली गर्नुहोस्	क्यास खाली याय्		Partial
clear_cache_desc	Free up storage space	भण्डारण ठाउँ खाली गर्नुहोस्	भण्डारण ठाउँ खाली याय्		Partial
sticky_date_notification	Sticky Date Notification	स्थायी मिति सूचना	स्थायी मिति सूचना		Partial
sticky_date_notification_desc	Show today's Nepali date in notification bar	आजको नेपाली मिति सूचना पट्टीमा देखाउनुहोस्	थौं नेपाली मिति सूचना पट्टीया क्यनेगु		Partial
ipo_alerts	IPO Alerts	आईपीओ सूचना	आईपीओ सूचना		Partial
ipo_alerts_desc	Get notified when IPOs are opening or closing	आईपीओ खुल्दा वा बन्द हुँदा सूचना पाउनुहोस्	आईपीओ खुलय् वा बन्द जुलय् सूचना काय्		Partial
checking_updates	Checking for updates...	अपडेट जाँच गर्दै...	अपडेट जाँच यानाच्वँ...		Partial
cache_cleared	Cache cleared	क्यास खाली भयो	क्यास खाली जुल		Partial
app_version	Nepal Civic App v1.0.0	नेपाल नागरिक एप v1.0.0	नेपाल नागरिक एप v1.0.0		Partial
theme_system	System	सिस्टम	सिस्टम		Partial
theme_light	Light	उज्यालो	ज्वः		Partial
theme_dark	Dark	अँध्यारो	मिखा		Partial
theme_system_desc	Follow device settings	उपकरण सेटिङ अनुसरण गर्नुहोस्	उपकरण सेटिङ अनुसरण याय्		Partial
theme_light_desc	Always light theme	सधैं उज्यालो थिम	सदां ज्वःगु थिम		Partial
theme_dark_desc	Always dark theme	सधैं अँध्यारो थिम	सदां मिखागु थिम		Partial
choose_theme	Choose Theme	थिम छान्नुहोस्	थिम ल्ययादिसँ		Partial
choose_language	Choose Language	भाषा छान्नुहोस्	भाषा ल्ययादिसँ		Partial
both_languages	Both Languages	दुवै भाषा	निसें भाषा		Partial
nepali_language	नेपाली (Nepali)	नेपाली	नेपाली		Partial
english_language	English	अंग्रेजी	अंग्रेजी		Partial
newari_language	नेपाल भाषा (Newari)	नेपाल भाषा	नेपाल भाषा		Partial
maithili_language	मैथिली (Maithili)	मैथिली	मैथिली		Partial
know_your_rights	Know Your Rights	आफ्नो हक जान्नुहोस्	छिगु हक सय्कादिसँ		Partial
preamble	Preamble	प्रस्तावना	प्रस्तावना		Partial
