key,English,Nepali (ne),Newari (new),Maithili (mai)
app_name,Nepal Civic,नेपाल नागरिक,नेपाल नागरिक,
nav_calendar,Calendar,पात्रो,पात्रो,
nav_home,Home,गृह,छेँ,
nav_ipo,IPO,आईपीओ,आईपीओ,
nav_rights,Rights,अधिकार,अधिकार,
explore,Explore,अन्वेषण,अन्वेषण,
utilities,Utilities,उपकरणहरू,उपकरणथें,
govt,Govt,सरकार,सरकार,
map,Map,नक्सा,नक्सा,
rights,Rights,अधिकार,अधिकार,
citizenship_merger,Citizenship Merger,नागरिकता मर्जर,नागरिकता मर्जर,
image_compressor,Image < 300KB,फोटो कम्प्रेस,फोटो कम्प्रेस,
calendar,Calendar,पात्रो,पात्रो,
date_convert,Date Convert,मिति परिवर्तक,मिति परिवर्तक,
forex,Forex,विदेशी मुद्रा,विदेशी मुद्रा,
gold_silver,Gold/Silver,सुन/चाँदी,लुँ/चाँदी,
settings,Settings,सेटिङ,सेटिङ,
language_display,Language & Display,भाषा र प्रदर्शन,भाषा व प्रदर्शन,
data_updates,Data & Updates,डाटा र अपडेट,डाटा व अपडेट,
notifications,Notifications,सूचनाहरू,सूचनाथें,
about,About,बारेमा,बारेया,
language,Language,भाषा,भाषा,
theme,Theme,थिम,थिम,
auto_check_updates,Auto-check for updates,स्वचालित अपडेट जाँच,स्वचालित अपडेट जाँच,
auto_check_updates_desc,Check for new data on app launch,एप खोल्दा नयाँ डाटा जाँच गर्नुहोस्,एप खोलय् नयाँ डाटा जाँच याय्,
check_updates_now,Check for updates now,अहिले अपडेट जाँच गर्नुहोस्,अले अपडेट जाँच याय्,
check_updates_now_desc,Download latest leader data,नवीनतम नेता डाटा डाउनलोड गर्नुहोस्,नयाँ नेता डाटा डाउनलोड याय्,
clear_cache,Clear cache,क्यास खाली गर्नुहोस्,क्यास खाली याय्,
clear_cache_desc,Free up storage space,भण्डारण ठाउँ खाली गर्नुहोस्,भण्डारण ठाउँ खाली याय्,
sticky_date_notification,Sticky Date Notification,स्थायी मिति सूचना,स्थायी मिति सूचना,
sticky_date_notification_desc,Show today's Nepali date in notification bar,आजको नेपाली मिति सूचना पट्टीमा देखाउनुहोस्,थौं नेपाली मिति सूचना पट्टीया क्यनेगु,
ipo_alerts,IPO Alerts,आईपीओ सूचना,आईपीओ सूचना,
ipo_alerts_desc,Get notified when IPOs are opening or closing,आईपीओ खुल्दा वा बन्द हुँदा सूचना पाउनुहोस्,आईपीओ खुलय् वा बन्द जुलय् सूचना काय्,
checking_updates,Checking for updates...,अपडेट जाँच गर्दै...,अपडेट जाँच यानाच्वँ...,
cache_cleared,Cache cleared,क्यास खाली भयो,क्यास खाली जुल,
app_version,Nepal Civic App v1.0.0,नेपाल नागरिक एप v1.0.0,नेपाल नागरिक एप v1.0.0,
theme_system,System,सिस्टम,सिस्टम,
theme_light,Light,उज्यालो,ज्वः,
theme_dark,Dark,अँध्यारो,मिखा,
theme_system_desc,Follow device settings,उपकरण सेटिङ अनुसरण गर्नुहोस्,उपकरण सेटिङ अनुसरण याय्,
theme_light_desc,Always light theme,सधैं उज्यालो थिम,सदां ज्वःगु थिम,
theme_dark_desc,Always dark theme,सधैं अँध्यारो थिम,सदां मिखागु थिम,
choose_theme,Choose Theme,थिम छान्नुहोस्,थिम ल्ययादिसँ,
choose_language,Choose Language,भाषा छान्नुहोस्,भाषा ल्ययादिसँ,
both_languages,Both Languages,दुवै भाषा,निसें भाषा,
nepali_language,नेपाली (Nepali),नेपाली,नेपाली,
english_language,English,अंग्रेजी,अंग्रेजी,
newari_language,नेपाल भाषा (Newari),नेपाल भाषा,नेपाल भाषा,
maithili_language,मैथिली (Maithili),मैथिली,मैथिली,
know_your_rights,Know Your Rights,आफ्नो हक जान्नुहोस्,छिगु हक सय्कादिसँ,
preamble,Preamble,प्रस्तावना,प्रस्तावना,
part_number,Part {number},भाग {number},भाग {number},
article_number,Article {number},धारा {number},धारा {number},
search_articles,Search for articles...,धाराहरू खोज्नुहोस्...,धाराथें मालादिसँ...,
no_results,No results for "{query}","{query}" को लागि कुनै परिणाम छैन,"{query}" या लागि खँ मदु,
file_complaint,File Complaint,उजुरी दिनुहोस्,उजुरी बियादिसँ,
both,Both,दुवै,निसें,
nepali,नेपाली,नेपाली,नेपाली,
english,English,अंग्रेजी,अंग्रेजी,
paragraph,Paragraph,अनुच्छेद,अनुच्छेद,
sentence,Sentence,वाक्य,वाक्य,
leaders,Leaders,नेताहरू,नेताथें,
sort,Sort,क्रमबद्ध,क्रमबद्ध,
filter,Filter,फिल्टर,फिल्टर,
sort_by,Sort by,क्रमबद्ध गर्नुहोस्,क्रमबद्ध यायेमा,
name,Name,नाम,नां,
district,District,जिल्ला,जिल्ला,
party,Party,पार्टी,पार्टी,
search_leaders,Search leaders...,नेताहरू खोज्नुहोस्...,नेताथें मालादिसँ...,
no_leaders_match,No leaders match your filters,तपाईंको फिल्टरसँग कुनै नेता मिलेन,छिगु फिल्टरं खँग्व नेता मिलल मखु,
no_leaders_found,No leaders found,कुनै नेता भेटिएन,खँग्व नेता मदु,
filters,Filters,फिल्टरहरू,फिल्टरथें,
clear_all,Clear All,सबै हटाउनुहोस्,जक्व थायेकादिसँ,
leaders_count,{count} leaders,{count} नेताहरू,{count} नेताथें,
filter_by_district,Filter by District,जिल्ला अनुसार फिल्टर,जिल्ला कथं फिल्टर,
select_district,Select District,जिल्ला छान्नुहोस्,जिल्ला ल्ययादिसँ,
clear,Clear,हटाउनुहोस्,थायेकादिसँ,
province,Province {number},प्रदेश {number},प्रदेश {number},
districts_count,{count} districts,{count} जिल्लाहरू,{count} जिल्लाथें,
biography,Biography,जीवनी,जीवनी,
no_biography,No biography available.,जीवनी उपलब्ध छैन।,जीवनी मदु।,
view_all_leaders,View All Leaders,सबै नेताहरू हेर्नुहोस्,जक्व नेताथें स्वयादिसँ,
nepal_districts,Nepal Districts,नेपाल जिल्लाहरू,नेपाल जिल्लाथें,
filter_by_province,Filter by Province,प्रदेश अनुसार फिल्टर,प्रदेश कथं फिल्टर,
reset_zoom,Reset Zoom,जुम रिसेट,जुम रिसेट,
no_leaders_district,No leaders found for {district},"{district}" मा कुनै नेता भेटिएन,{district} या खँग्व नेता मदु,
nepali_calendar,Nepali Calendar,नेपाली पात्रो,नेपाली पात्रो,
today,Today,आज,थौं,
previous_month,Previous month,अघिल्लो महिना,न्हापाया लः,
next_month,Next month,अर्को महिना,अप्वया लः,
holiday,Holiday,बिदा,बिदा,
event,Event,कार्यक्रम,कार्यक्रम,
auspicious,Auspicious,शुभ,शुभ,
no_events,No events,कुनै कार्यक्रम छैन,खँग्व कार्यक्रम मदु,
ipo_shares,IPO & Shares,आईपीओ र सेयर,आईपीओ व सेयर,
ipo_list,IPO List,आईपीओ सूची,आईपीओ सूची,
todays_price,Today's Price,आजको मूल्य,थौंया मोल,
source_cdsc,Source: CDSC Nepal,स्रोत: सीडीएससी नेपाल,स्रोत: सीडीएससी नेपाल,
updated_ago,Updated {time} ago,{time} अघि अपडेट भयो,{time} न्ह्यःने अपडेट जुल,
open_cdsc,Open CDSC Website,सीडीएससी वेबसाइट खोल्नुहोस्,सीडीएससी वेबसाइट हायेकादिसँ,
no_active_ipos,No active IPOs,कुनै सक्रिय आईपीओ छैन,खँग्व सक्रिय आईपीओ मदु,
check_later,Check back later for new listings,नयाँ सूचीको लागि पछि जाँच गर्नुहोस्,नयाँ सूचीया लागि लिपा जाँच यायेमा,
refresh,Refresh,ताजा गर्नुहोस्,ताजा याय्,
retry,Retry,पुन: प्रयास,दोबारा यायेमा,
open_for_application,Open for Application,आवेदनको लागि खुला,आवेदनया लागि खुला,
closes_today,Closes Today!,आज बन्द हुन्छ!,थौं बन्द जुइ!,
closes_tomorrow,Closes Tomorrow,भोलि बन्द हुन्छ,गबले बन्द जुइ,
opens_tomorrow,Opens Tomorrow,भोलि खुल्छ,गबले खुलइ,
opens_in_days,Opens in {days} days,{days} दिनमा खुल्छ,{days} न्हिइ खुलइ,
closed,Closed,बन्द,बन्द,
issued_units,Issued Units,जारी इकाइहरू,जारी इकाइथें,
applications,Applications,आवेदनहरू,आवेदनथें,
applied_units,Applied Units,आवेदित इकाइहरू,आवेदित इकाइथें,
total_amount,Total Amount,कुल रकम,जक्व रकम,
opens,Opens,खुल्छ,खुलइ,
closes,Closes,बन्द हुन्छ,बन्द जुइ,
last_updated,Last updated: {time},अन्तिम अपडेट: {time},लिपाया अपडेट: {time},
issue_manager,Issue Manager: {name},इश्यू म्यानेजर: {name},इश्यू म्यानेजर: {name},
search_symbol,Search symbol or company...,सिम्बल वा कम्पनी खोज्नुहोस्...,सिम्बल वा कम्पनी मालादिसँ...,
top_volume,Top Volume,उच्च भोल्युम,उच्च भोल्युम,
top_gainers,Top Gainers,उच्च लाभ,उच्च लाभ,
top_losers,Top Losers,उच्च घाटा,उच्च घाटा,
source_merolagani,Source: Merolagani,स्रोत: मेरोलगानी,स्रोत: मेरोलगानी,
market_unavailable,Market data unavailable,बजार डाटा उपलब्ध छैन,बजार डाटा मदु,
market_closed,Market may be closed or data is loading,बजार बन्द हुन सक्छ वा डाटा लोड हुँदैछ,बजार बन्द जुइफु वा डाटा लोड जुयाच्वँ,
vol,Vol,भोल्युम,भोल्युम,
date_converter,Date Converter,मिति परिवर्तक,मिति परिवर्तक,
bs_to_ad,BS → AD,बि.सं. → ई.सं.,बि.सं. → ई.सं.,
ad_to_bs,AD → BS,ई.सं. → बि.सं.,ई.सं. → बि.सं.,
bs_to_gregorian,Bikram Sambat → Gregorian,बिक्रम सम्बत → ग्रेगोरियन,बिक्रम सम्बत → ग्रेगोरियन,
gregorian_to_bs,Gregorian → Bikram Sambat,ग्रेगोरियन → बिक्रम सम्बत,ग्रेगोरियन → बिक्रम सम्बत,
year,Year,वर्ष,दँ,
month,Month,महिना,लः,
day,Day,दिन,न्हि,
gregorian_date,Gregorian Date (AD),ग्रेगोरियन मिति (ई.सं.),ग्रेगोरियन मिति (ई.सं.),
bikram_sambat,Bikram Sambat (BS),बिक्रम सम्बत (बि.सं.),बिक्रम सम्बत (बि.सं.),
invalid_bs_date,Invalid BS date,अवैध बि.सं. मिति,अवैध बि.सं. मिति,
select_date,Select a date,मिति छान्नुहोस्,मिति ल्ययादिसँ,
citizenship_photo_merger,Citizenship Photo Merger,नागरिकता फोटो मर्जर,नागरिकता फोटो मर्जर,
reset,Reset,रिसेट,रिसेट,
