key,english,nepali,newari,context
# App General
app_name,Nepal Civic,नेपाल नागरिक,नेपाल नागरिक,App title
app_name_short,Nepal Civic,नेपाल नागरिक,नेपाल नागरिक,Short app name

# Navigation - Bottom Tabs
nav_calendar,Calendar,पात्रो,पात्रो,Bottom nav tab
nav_home,Home,गृह,छेँ,Bottom nav tab
nav_ipo,IPO,आईपीओ,आईपीओ,Bottom nav tab
nav_rights,Rights,अधिकार,अधिकार,Bottom nav tab

# Navigation - Quick Access
explore,Explore,अन्वेषण,अन्वेषण,Section header
utilities,Utilities,उपकरणहरू,उपकरणथें,Section header
govt,Govt,सरकार,सरकार,Quick access card
map,Map,नक्सा,नक्सा,Quick access card
rights,Rights,अधिकार,अधिकार,Quick access card

# Utility Cards
citizenship_merger,Citizenship Merger,नागरिकता मर्जर,नागरिकता मर्जर,Utility card title
image_compressor,Image < 300KB,फोटो कम्प्रेस,फोटो कम्प्रेस,Utility card title
calendar,Calendar,पात्रो,पात्रो,Utility card title
date_convert,Date Convert,मिति परिवर्तक,मिति परिवर्तक,Utility card title
forex,Forex,विदेशी मुद्रा,विदेशी मुद्रा,Utility card title
gold_silver,Gold/Silver,सुन/चाँदी,लुँ/चाँदी,Utility card title

# Settings Screen
settings,Settings,सेटिङ,सेटिङ,Screen title
language_display,Language & Display,भाषा र प्रदर्शन,भाषा व प्रदर्शन,Section header
data_updates,Data & Updates,डाटा र अपडेट,डाटा व अपडेट,Section header
notifications,Notifications,सूचनाहरू,सूचनाथें,Section header
about,About,बारेमा,बारेया,Section header
language,Language,भाषा,भाषा,Setting label
theme,Theme,थिम,थिम,Setting label
auto_check_updates,Auto-check for updates,स्वचालित अपडेट जाँच,स्वचालित अपडेट जाँच,Setting title
auto_check_updates_desc,Check for new data on app launch,एप खोल्दा नयाँ डाटा जाँच गर्नुहोस्,एप खोलय् नयाँ डाटा जाँच याय्,Setting subtitle
check_updates_now,Check for updates now,अहिले अपडेट जाँच गर्नुहोस्,अले अपडेट जाँच याय्,Setting title
check_updates_now_desc,Download latest leader data,नवीनतम नेता डाटा डाउनलोड गर्नुहोस्,नयाँ नेता डाटा डाउनलोड याय्,Setting subtitle
clear_cache,Clear cache,क्यास खाली गर्नुहोस्,क्यास खाली याय्,Setting title
clear_cache_desc,Free up storage space,भण्डारण ठाउँ खाली गर्नुहोस्,भण्डारण ठाउँ खाली याय्,Setting subtitle
sticky_date_notification,Sticky Date Notification,स्थायी मिति सूचना,स्थायी मिति सूचना,Setting title
sticky_date_notification_desc,Show today's Nepali date in notification bar,आजको नेपाली मिति सूचना पट्टीमा देखाउनुहोस्,थौं नेपाली मिति सूचना पट्टीया क्यनेगु,Setting subtitle
ipo_alerts,IPO Alerts,आईपीओ सूचना,आईपीओ सूचना,Setting title
ipo_alerts_desc,Get notified when IPOs are opening or closing,आईपीओ खुल्दा वा बन्द हुँदा सूचना पाउनुहोस्,आईपीओ खुलय् वा बन्द जुलय् सूचना काय्,Setting subtitle
checking_updates,Checking for updates...,अपडेट जाँच गर्दै...,अपडेट जाँच यानाच्वँ...,Snackbar message
cache_cleared,Cache cleared,क्यास खाली भयो,क्यास खाली जुल,Snackbar message
app_version,Nepal Civic App v1.0.0,नेपाल नागरिक एप v1.0.0,नेपाल नागरिक एप v1.0.0,Version info

# Theme Options
theme_system,System,सिस्टम,सिस्टम,Theme option
theme_light,Light,उज्यालो,ज्वः,Theme option
theme_dark,Dark,अँध्यारो,मिखा,Theme option
theme_system_desc,Follow device settings,उपकरण सेटिङ अनुसरण गर्नुहोस्,उपकरण सेटिङ अनुसरण याय्,Theme option subtitle
theme_light_desc,Always light theme,सधैं उज्यालो थिम,सदां ज्वःगु थिम,Theme option subtitle
theme_dark_desc,Always dark theme,सधैं अँध्यारो थिम,सदां मिखागु थिम,Theme option subtitle
choose_theme,Choose Theme,थिम छान्नुहोस्,थिम ल्ययादिसँ,Dialog title

# Language Options
both_languages,Both Languages,दुवै भाषा,निसें भाषा,Language option
nepali_language,नेपाली (Nepali),नेपाली,नेपाली,Language option
english_language,English,अंग्रेजी,अंग्रेजी,Language option
newari_language,नेपाल भाषा (Newari),नेपाल भाषा,नेपाल भाषा,Language option

# Constitution Screen
know_your_rights,Know Your Rights,आफ्नो हक जान्नुहोस्,छिगु हक सय्कादिसँ,Navigation item
preamble,Preamble,प्रस्तावना,प्रस्तावना,Section title
part_number,Part {number},भाग {number},भाग {number},Part label with number
article_number,Article {number},धारा {number},धारा {number},Article label
search_articles,Search for articles...,धाराहरू खोज्नुहोस्...,धाराथें मालादिसँ...,Search hint
no_results,No results for "{query}","{query}" को लागि कुनै परिणाम छैन,"{query}" या लागि खँ मदु,Empty state
file_complaint,File Complaint,उजुरी दिनुहोस्,उजुरी बियादिसँ,Button text

# View Mode
both,Both,दुवै,निसें,Toggle option
nepali,नेपाली,नेपाली,नेपाली,Toggle option
english,English,अंग्रेजी,अंग्रेजी,Toggle option
paragraph,Paragraph,अनुच्छेद,अनुच्छेद,Toggle option
sentence,Sentence,वाक्य,वाक्य,Toggle option

# Leaders Screen
leaders,Leaders,नेताहरू,नेताथें,Screen title
sort,Sort,क्रमबद्ध,क्रमबद्ध,Button tooltip
filter,Filter,फिल्टर,फिल्टर,Button tooltip
sort_by,Sort by,क्रमबद्ध गर्नुहोस्,क्रमबद्ध यायेमा,Dialog title
